1;2;3;4;5;6;7;8;9;10;11;12;13
Schluessel;Straftat;Jahr;erfasste Faelle;HZ;Versuche - Anzahl;Versuche - Anteil in %;mit Schusswaffe gedroht;mit Schusswaffe geschossen;Aufklaerungsquote in %;Tatverdaechtige insgesamt;Nichtdeutsche Tatverdaechtige - Anzahl;Nichtdeutsche Tatverdaechtige - Anteil in %
------;Straftaten insgesamt;1987;4,444,108;7,268.70;382,623;8.6;6,564;5,429;44.2;1,290,441;258,329;20
------;Straftaten insgesamt;1988;4,356,726;7,114.40;371,110;8.5;6,639;4,976;45.9;1,314,080;286,741;21.8
------;Straftaten insgesamt;1989;4,358,573;7,062.40;363,650;8.3;6,294;4,633;47.2;1,370,962;336,016;24.5
------;Straftaten insgesamt;1990;4,455,333;7,108.20;352,518;7.9;6,589;4,185;47;1,437,923;383,583;26.7
------;Straftaten insgesamt;1991;4,752,175;7,310.90;373,651;7.9;7,959;4,543;45.4;1,466,752;405,545;27.6
------;Straftaten insgesamt;1992;5,209,060;7,920.60;426,942;8.2;8,907;5,179;44.8;1,581,734;509,305;32.2
------;Straftaten insgesamt;1993;6,750,613;8,336.70;527,502;7.8;12,362;7,708;43.8;2,051,775;689,920;33.6
------;Straftaten insgesamt;1994;6,537,748;8,037.70;502,392;7.7;12,020;7,678;44.4;2,037,729;612,988;30.1
------;Straftaten insgesamt;1995;6,668,717;8,178.60;501,404;7.5;12,855;8,163;46;2,118,104;603,496;28.5
------;Straftaten insgesamt;1996;6,647,598;8,124.90;478,902;7.2;13,479;8,471;49;2,213,293;625,585;28.3
------;Straftaten insgesamt;1997;6,586,165;8,030.70;453,046;6.9;13,648;8,081;50.6;2,273,560;633,480;27.9
------;Straftaten insgesamt;1998;6,456,996;7,868.90;436,117;6.8;12,865;6,993;52.3;2,319,895;628,477;27.1
------;Straftaten insgesamt;1999;6,302,316;7,682.30;400,596;6.4;12,448;6,844;52.8;2,263,140;601,221;26.6
------;Straftaten insgesamt;2000;6,264,723;7,624.70;380,877;6.1;12,482;6,937;53.2;2,286,372;589,109;25.8
------;Straftaten insgesamt;2001;6,363,865;7,736.30;374,327;5.9;11,270;5,416;53.1;2,280,611;568,384;24.9
------;Straftaten insgesamt;2002;6,507,394;7,893.50;384,537;5.9;10,883;5,528;52.6;2,326,149;566,918;24.4
------;Straftaten insgesamt;2003;6,572,135;7,962.70;379,563;5.8;11,054;6,283;53.1;2,355,161;553,750;23.5
------;Straftaten insgesamt;2004;6,633,156;8,037.10;387,766;5.8;9,876;5,499;54.2;2,384,268;546,985;22.9
------;Straftaten insgesamt;2005;6,391,715;7,747.50;367,609;5.8;9,177;5,039;55;2,313,136;519,573;22.5
------;Straftaten insgesamt;2006;6,304,223;7,647.20;371,688;5.9;8,813;4,584;55.4;2,283,127;503,037;22
------;Straftaten insgesamt;2007;6,284,661;7,634.90;389,283;6.2;7,883;4,558;55;2,294,883;490,278;21.4
------;Straftaten insgesamt;2008;6,114,128;7,436.50;398,584;6.5;6,994;4,371;54.8;2,255,693;471,067;20.9
------;Straftaten insgesamt;2009;6,054,330;7,383.10;408,790;6.8;7,142;5,913;55.6;2,187,217;462,378;21.1
------;Straftaten insgesamt;2010;5,933,278;7,253.20;414,644;7;6,623;5,553;56;2,152,803;471,812;21.9
------;Straftaten insgesamt;2011;5,990,679;7,327.90;430,397;7.2;6,113;5,597;54.7;2,112,843;484,529;22.9
------;Straftaten insgesamt;2012;5,997,040;7,327.40;450,708;7.5;5,696;5,132;54.4;2,094,118;502,390;24
------;Straftaten insgesamt;2013;5,961,662;7,403.60;457,911;7.7;4,940;5,153;54.5;2,094,160;538,449;25.7
------;Straftaten insgesamt;2014;6,082,064;7,530.30;461,117;7.6;4,567;5,018;54.9;2,149,504;617,392;28.7
------;Straftaten insgesamt;2015;6,330,649;7,796.60;481,103;7.6;4,289;4,711;56.3;2,369,036;911,864;38.5
------;Straftaten insgesamt;2016;6,372,526;7,754.80;533,647;8.4;4,425;5,542;56.2;2,360,806;953,744;40.4
------;Straftaten insgesamt;2017;5,761,984;6,982.40;454,461;7.9;4,211;4,724;57.1;2,112,715;736,265;34.8
------;Straftaten insgesamt;2018;5,555,520;6,710.20;423,408;7.6;3,819;4,524;57.7;2,051,266;708,380;34.5
------;Straftaten insgesamt;2019;5,436,401;6,548.40;416,594;7.7;4,512;4,639;57.5;2,019,211;699,261;34.6
------;Straftaten insgesamt;2020;5,310,621;6,385.50;399,759;7.5;4,370;4,454;58.4;1,969,617;663,199;33.7
------;Straftaten insgesamt;2021;5,047,860;6,070.40;371,382;7.4;3,881;4,074;58.7;1,892,003;639,127;33.8
------;Straftaten insgesamt;2022;5,628,584;6,762.10;414,197;7.4;4,092;4,442;57.3;2,093,782;783,876;37.4
------;Straftaten insgesamt;2023;5,940,667;7,042.10;425,520;7.2;4,419;4,687;58.4;2,246,767;923,269;41.1
0;Straftaten gegen das Leben;1987;3,500;5.7;1,817;51.9;22;282;94.4;3,655;781;21.4
0;Straftaten gegen das Leben;1988;3,535;5.8;1,750;49.5;31;221;94.7;3,490;718;20.6
0;Straftaten gegen das Leben;1989;3,099;5;1,599;51.6;27;218;94.2;3,310;721;21.8
0;Straftaten gegen das Leben;1990;3,050;4.9;1,661;54.5;27;234;93.8;3,291;756;23
0;Straftaten gegen das Leben;1991;3,260;5;1,653;50.7;20;279;92.2;3,632;936;25.8
0;Straftaten gegen das Leben;1992;3,747;5.7;2,029;54.1;28;391;91.9;3,865;1,149;29.7
0;Straftaten gegen das Leben;1993;5,140;6.3;2,773;53.9;45;937;83.3;5,295;1,389;26.2
0;Straftaten gegen das Leben;1994;4,654;5.7;2,385;51.2;41;732;87.9;5,178;1,369;26.4
0;Straftaten gegen das Leben;1995;4,908;6;2,594;52.9;37;783;88.9;5,468;1,429;26.1
0;Straftaten gegen das Leben;1996;4,420;5.4;2,287;51.7;32;567;92;5,113;1,405;27.5
0;Straftaten gegen das Leben;1997;4,292;5.2;2,142;49.9;31;545;92.6;4,968;1,344;27.1
0;Straftaten gegen das Leben;1998;3,736;4.6;1,934;51.8;31;381;94.3;4,422;1,201;27.2
0;Straftaten gegen das Leben;1999;3,744;4.6;1,858;49.6;33;389;94.1;4,333;1,099;25.4
0;Straftaten gegen das Leben;2000;3,676;4.5;1,822;49.6;33;355;93.7;4,294;1,023;23.8
0;Straftaten gegen das Leben;2001;3,577;4.3;1,787;50;33;304;93.3;4,056;950;23.4
0;Straftaten gegen das Leben;2002;3,541;4.3;1,758;49.6;27;250;94.5;4,103;1,020;24.9
0;Straftaten gegen das Leben;2003;3,465;4.2;1,735;50.1;25;258;93.9;4,059;980;24.1
0;Straftaten gegen das Leben;2004;3,525;4.3;1,695;48.1;19;233;93.6;4,129;936;22.7
0;Straftaten gegen das Leben;2005;3,549;4.3;1,608;45.3;19;217;92.9;3,995;882;22.1
0;Straftaten gegen das Leben;2006;3,452;4.2;1,766;51.2;20;198;92.3;4,005;901;22.5
0;Straftaten gegen das Leben;2007;3,356;4.1;1,690;50.4;22;168;92.1;4,032;926;23
0;Straftaten gegen das Leben;2008;3,244;3.9;1,635;50.4;11;161;92.2;3,965;848;21.4
0;Straftaten gegen das Leben;2009;3,269;4;1,678;51.3;14;179;91.6;4,056;879;21.7
0;Straftaten gegen das Leben;2010;3,216;3.9;1,652;51.4;13;147;91.7;3,954;887;22.4
0;Straftaten gegen das Leben;2011;3,135;3.8;1,599;51;17;132;92.2;3,845;852;22.2
0;Straftaten gegen das Leben;2012;3,028;3.7;1,613;53.3;13;141;91.1;3,608;813;22.5
0;Straftaten gegen das Leben;2013;2,951;3.7;1,620;54.9;9;142;91.8;3,642;869;23.9
